usdot_number,prefix,docket_number,legal_name,dba_name,city,state
1128010,MC,459929,COLUMBIA INTERMODAL LLC,,LIBERTY CORNER,NJ
4098535,MC,1572948,HERE2THERE LOGISTICAL TRANSPORT LLC,,EAST ORANGE,NJ
2891880,MC,972556,LHT LLC,,BUDD LAKE,NJ
2842554,MC,953989,PAC TRANSPORTATION & LOGISTICS LLC,,CLEMENTON,NJ
3597092,MC,1254552,SB INTERSATE LLC,,CRANFORD,NJ
4193136,MC,1632876,STEVEN TRANSPORT SERVICES LLC,,IRVINGTON,NJ
4126531,MC,1633454,THECH LOGISTICS LLC,THECH LOGISTICS,WILLINGBORO,NJ
4199871,MC,1632405,TRIPLE C TRUCKING LLC,,MOUNT HOLLY,NJ
157652,MC,144502,"""ATKINSON-INTERMODAL SYSTEMS, INC. """,,JERSEY CITY,NJ
511774,MC,234067,"""BEDA""INTERSTATE TRANSIT, INC.",,UNION CITY,NJ
611184,MC,297297,"""HEARD YOU'RE MOVING,"" CO.",,SOMERSET,NJ
,MC,180841,"""TAC II, INC. """,,TRENTON,NJ
1252058,MC,494081,"""WALDO"" TRUCKING CORP.",,PAULSBORO,NJ
4091974,MC,1576634,0202 TRANSPORTATION CORP,,RIDGEFIELD,NJ
3158523,MC,109503,,,,
2195871,MC,842083,1 EXTREME TOWING CORP,,JERSEY CITY,NJ
3344773,MC,1068219,1 FREEDOM TRUCKING LLC,,PLAINFIELD,NJ
2608212,MC,912942,1 NATION TRANSPORTATION LLC,,CLIFTON,NJ
3983044,MC,1511620,1 OAK TRANSPORT,,N BRUNSWICK,NJ
3250237,MC,,,,,
,MC,1033969,1 TRADE EXPRESS LLC,,PERTH AMBOY,NJ
2050107,MC,718229,1 USA CARRIERS INC,,EAST BRUNSWICK,NJ
3945100,MC,1466362,1 WAY LOGISTICS LLC,,PASSAIC,NJ
3552657,MC,1190382,1 WORKING MOM LLC,,EAST ORANGE,NJ
2349080,MC,804026,,,,
4024556,MC,1518889,101 MOVERS CORP,,CLIFTON,NJ
4035015,MC,1525472,101 TRUCKING CORPORATION,,TRENTON,
3757587,MC,1336402,123 TRANSPORTATION SOLUTIONS LLC,,LTL EGG HBR,NJ
1508526,MC,565677,1234 LIME'S TRUCKING COMPANY,,CLIFFSIDE PARK,NJ
3991637,MC,1497609,127 LANES DELIVERY LLC,,UNION CITY,NJ
4209986,MC,1625563,12TH HOUSE LOGISTICS LLC,,SICKLERVILLE,NJ
4224125,MC,,,,,
2978653,MC,13080,14 M SERVICES LLC,,NORTH BERGEN,NJ
2943178,MC,995741,15 LOGISTICS LLC,,MATAWAN,NJ
,MC,167617,"1549 BLACK HORSE PIKE, INC.",EXCLUSIVE LIMOUSINE,PLEASANTVILLE,NJ
3472805,MC,1137183,1600 ENT LOGISTICS LLC,,CAMDEN,NJ
3851189,MC,,,,,
3650238OOS,MC,1257910,18 WHEELZ N HEELZ TRANSPORTATION CORP,,ORANGE,NJ
4004403,MC,1505924,1804 TRUCKING LLC,,ROSELLE,NJ
4038812,MC,1580770,1807 SERVICES LLC,,ELIZABETHPORT,NJ
4172323,MC,1605050,1895 LOGISTICS LLC,,BAYONNE,NJ
3698520,MC,1293132,18BRIGS LLC,,EDISON,NJ
4044996,MC,1531501,18WHEELS TRUCKING INC,,MORGANVILLE,NJ
4119101,MC,1575020,1901 HOLDINGS LLC,,RIDGEFIELD PK,NJ
4172410,MC,1605094,195 FREIGHT BROKERS LLC,,SAYREVILLE,NJ
4039130,MC,1527998,1A ENTERPRISE LLC,,BELLEVILLE,NJ
4147250,MC,1591331,1D FULL TRUCKING LLC,,SICKLERVILLE,NJ
3362429,MC,1076977,1LINK EXPRESS MOVEMENT LLC,,NEWARK,NJ
3724751,MC,1312477,1NOOR TRUCKING INC,,CARTERET,NJ
3428771,MC,1110323,1OF1TRUCKING LLC,,ELIZABETHPORT,NJ
